Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
Mongolia,East Asia,6.011,9.396,0.918,62.700,0.718,0.141,0.843
Montenegro,Central and Eastern Europe,5.722,9.913,0.887,68.900,0.802,0.060,0.845
Morocco,Middle East and North Africa,4.803,8.871,0.553,66.500,0.819,-0.229,0.803
Myanmar,Southeast Asia,4.431,8.554,0.796,59.600,0.825,0.470,0.647
Namibia,Sub-Saharan Africa,4.451,9.104,0.741,57.100,0.666,-0.104,0.810
Netherlands,Western Europe,7.504,10.901,0.944,72.500,0.935,0.151,0.281
New Zealand,North America and ANZ,7.257,10.600,0.952,73.600,0.918,0.125,0.283
Nigeria,Sub-Saharan Africa,5.503,8.484,0.739,50.500,0.713,0.099,0.913
North Macedonia,Central and Eastern Europe,5.054,9.690,0.750,65.560,0.787,0.131,0.877
Norway,Western Europe,7.290,11.042,0.956,73.400,0.965,0.075,0.271
Philippines,Southeast Asia,5.080,9.061,0.781,62.100,0.932,-0.116,0.744
Poland,Central and Eastern Europe,6.139,10.371,0.953,70.100,0.767,-0.007,0.787
Portugal,Western Europe,5.768,10.371,0.875,72.800,0.913,-0.238,0.867
Russia,Commonwealth of Independent States,5.495,10.162,0.887,65.100,0.714,-0.071,0.823
Saudi Arabia,Middle East and North Africa,6.560,10.701,0.890,66.900,0.884,-0.111,
Serbia,Central and Eastern Europe,6.042,9.788,0.852,69.000,0.843,0.149,0.824
Slovakia,Central and Eastern Europe,6.519,10.332,0.954,69.500,0.762,-0.075,0.901
Slovenia,Central and Eastern Europe,6.462,10.478,0.953,71.700,0.958,-0.081,0.797
South Africa,Sub-Saharan Africa,4.947,9.332,0.891,57.300,0.757,-0.015,0.912
South Korea,East Asia,5.793,10.648,0.808,74.200,0.711,-0.106,0.665
Spain,Western Europe,6.502,10.488,0.935,75.000,0.783,-0.121,0.730
Sweden,Western Europe,7.314,10.838,0.936,72.800,0.951,0.091,0.203
Switzerland,Western Europe,7.508,11.081,0.946,74.700,0.917,-0.064,0.280
Taiwan Province of China,East Asia,6.751,,0.901,,0.799,,0.711
Tajikistan,Commonwealth of Independent States,5.373,8.080,0.790,64.700,,-0.040,0.550
Tanzania,Sub-Saharan Africa,3.786,7.881,0.740,58.500,0.830,0.295,0.521
Thailand,Southeast Asia,5.885,9.769,0.867,67.600,0.840,0.273,0.918
Tunisia,Middle East and North Africa,4.731,9.231,0.719,67.500,0.668,-0.202,0.877
Turkey,Middle East and North Africa,4.862,10.219,0.857,67.600,0.510,-0.111,0.774
Uganda,Sub-Saharan Africa,4.641,7.684,0.800,56.500,0.687,0.147,0.878
Ukraine,Commonwealth of Independent States,5.270,9.428,0.885,65.200,0.784,0.126,0.946
United Arab Emirates,Middle East and North Africa,6.458,11.053,0.827,67.500,0.942,0.060,
United Kingdom,Western Europe,6.798,10.626,0.929,72.700,0.885,0.203,0.490
United States,North America and ANZ,7.028,11.001,0.937,68.100,0.850,0.034,0.678
Uruguay,Latin America and Caribbean,6.310,9.937,0.921,69.200,0.908,-0.084,0.491
Venezuela,Latin America and Caribbean,4.574,,0.805,66.900,0.612,,0.811
Zambia,Sub-Saharan Africa,4.838,8.117,0.767,56.300,0.750,0.056,0.810
Zimbabwe,Sub-Saharan Africa,3.160,7.829,0.717,56.800,0.643,-0.009,0.789
