Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
Russia,Commonwealth of Independent States,5.158,10.044,0.908,60.420,0.617,-0.283,0.954
Rwanda,Sub-Saharan Africa,4.030,7.273,0.559,54.620,0.766,-0.001,0.410
Saudi Arabia,Middle East and North Africa,6.148,10.673,0.921,64.220,0.639,-0.110,0.445
Senegal,Sub-Saharan Africa,4.335,7.909,0.810,55.420,0.557,-0.036,0.918
Serbia,Central and Eastern Europe,4.380,9.568,0.770,66.000,0.373,-0.178,0.961
Singapore,Southeast Asia,6.145,11.149,0.866,74.500,0.776,-0.075,0.035
Slovenia,Central and Eastern Europe,5.830,10.410,0.919,68.900,0.896,-0.019,0.804
Somaliland region,Sub-Saharan Africa,4.991,,0.880,,0.746,,0.513
South Africa,Sub-Saharan Africa,5.218,9.414,0.877,49.880,0.739,-0.154,0.904
South Korea,East Asia,5.648,10.386,0.811,71.100,0.600,-0.096,0.787
Spain,Western Europe,6.199,10.532,0.929,72.620,0.749,-0.127,0.798
Sri Lanka,South Asia,4.212,9.049,0.830,66.020,0.799,0.306,0.690
Sudan,Sub-Saharan Africa,4.455,8.106,0.911,53.700,0.710,0.077,0.701
Sweden,Western Europe,7.266,10.740,0.903,71.760,0.864,0.221,0.292
Switzerland,Western Europe,7.525,11.055,0.938,72.260,0.891,0.125,0.342
Syria,Middle East and Northern Africa,4.979,8.654,0.842,64.000,0.748,0.082,0.688
Tajikistan,Commonwealth of Independent States,4.575,7.682,0.676,61.960,0.744,0.001,0.792
Tanzania,Sub-Saharan Africa,3.408,7.572,0.837,51.400,0.607,0.308,0.903
Thailand,Southeast Asia,5.476,9.508,0.893,65.160,0.868,0.525,0.904
Tunisia,Middle East and North Africa,5.025,9.197,,64.960,0.781,-0.119,0.722
Turkey,Middle East and North Africa,5.213,9.838,0.755,64.040,0.456,-0.227,0.853
Turkmenistan,Commonwealth of Independent States,6.568,8.989,0.924,59.440,,-0.102,
Uganda,Sub-Saharan Africa,4.612,7.505,0.852,49.420,0.760,-0.037,0.840
Ukraine,Commonwealth of Independent States,5.166,9.332,0.845,61.680,0.460,-0.241,0.962
United Arab Emirates,Middle East and North Africa,6.866,10.975,0.885,66.280,0.849,0.019,0.339
United Kingdom,Western Europe,6.907,10.638,0.964,71.020,0.816,0.341,0.559
United States,North America and ANZ,7.158,10.888,0.912,68.540,0.831,0.201,0.665
Uruguay,Latin America and Caribbean,6.296,9.710,0.924,67.860,0.825,-0.118,0.544
Uzbekistan,Commonwealth of Independent States,5.261,8.400,0.905,62.760,,0.013,0.610
Venezuela,Latin America and Caribbean,7.189,9.542,0.945,65.640,0.677,-0.116,0.828
Vietnam,Southeast Asia,5.304,8.483,0.815,66.340,0.834,-0.062,0.838
Yemen,Middle East and North Africa,4.809,8.278,0.756,54.000,0.644,-0.052,0.832
Zambia,Sub-Saharan Africa,5.260,7.978,0.782,48.640,0.696,-0.096,0.917
Zimbabwe,Sub-Saharan Africa,4.056,7.563,0.806,45.420,0.411,-0.078,0.931
